Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000387,Hammersmith and Fulham 016,3196,2829,6025
E02000388,Hammersmith and Fulham 017,4503,4154,8657
E02000389,Hammersmith and Fulham 018,4544,4104,8648
E02000390,Hammersmith and Fulham 019,3312,2880,6192
E02000391,Hammersmith and Fulham 020,3937,3650,7587
E02000392,Hammersmith and Fulham 021,5063,4166,9229
E02000393,Hammersmith and Fulham 022,3276,2699,5975
E02000394,Hammersmith and Fulham 023,5048,4233,9281
E02000395,Hammersmith and Fulham 024,3082,2598,5680
E02000396,Hammersmith and Fulham 025,3671,3227,6898
E02000397,Haringey 001,4064,3843,7907
E02000398,Haringey 002,3927,3592,7519
E02000400,Haringey 004,4223,3765,7988
E02000401,Haringey 005,3611,3253,6864
E02000402,Haringey 006,3515,2957,6472
E02000403,Haringey 007,3854,3659,7513
E02000404,Haringey 008,3676,3435,7111
E02000405,Haringey 009,3375,3099,6474
E02000406,Haringey 010,3553,3183,6736
E02000407,Haringey 011,3868,3737,7605
E02000408,Haringey 012,4338,3914,8252
E02000409,Haringey 013,3194,2867,6061
E02000410,Haringey 014,3375,3043,6418
E02000411,Haringey 015,5892,5536,11428
E02000412,Haringey 016,3721,3602,7323
E02000413,Haringey 017,4099,3664,7763
E02000414,Haringey 018,3560,3519,7079
E02000415,Haringey 019,3750,3492,7242
E02000416,Haringey 020,4400,4053,8453
E02000417,Haringey 021,3362,3194,6556
E02000418,Haringey 022,2846,2585,5431
E02000419,Haringey 023,4428,4308,8736
E02000420,Haringey 024,4139,3849,7988
E02000421,Haringey 025,4419,4092,8511
E02000422,Haringey 026,3860,3598,7458
E02000423,Haringey 027,3496,3411,6907
E02000424,Haringey 028,3671,3083,6754
E02000425,Haringey 029,4020,4149,8169
E02000426,Haringey 030,3407,3085,6492
E02000427,Haringey 031,3327,3294,6621
E02000428,Haringey 032,4298,4136,8434
E02000429,Haringey 033,3520,3273,6793
E02000430,Haringey 034,3608,3314,6922
E02000431,Haringey 035,3063,2785,5848
E02000432,Haringey 036,3161,2959,6120
E02000433,Harrow 001,4615,3987,8602
E02000434,Harrow 002,5063,4785,9848
E02000435,Harrow 003,4289,3902,8191
E02000436,Harrow 004,2957,2801,5758
E02000437,Harrow 005,4523,4237,8760
E02000438,Harrow 006,4577,3971,8548
E02000439,Harrow 007,4646,4620,9266
E02000440,Harrow 008,4862,4743,9605
E02000441,Harrow 009,3880,3601,7481
E02000442,Harrow 010,4561,5024,9585
E02000443,Harrow 011,5492,5255,10747
E02000444,Harrow 012,4338,4377,8715
E02000445,Harrow 013,5927,5846,11773
E02000447,Harrow 015,4123,4069,8192
E02000448,Harrow 016,3668,3402,7070
E02000449,Harrow 017,4133,4162,8295
E02000451,Harrow 019,3436,3275,6711
E02000452,Harrow 020,4754,4749,9503
E02000453,Harrow 021,4232,4154,8386
E02000454,Harrow 022,3785,3554,7339
E02000455,Harrow 023,5869,5800,11669
E02000456,Harrow 024,3900,3923,7823
E02000457,Harrow 025,3550,3509,7059
E02000459,Harrow 027,4810,4516,9326
E02000460,Harrow 028,3776,3536,7312
E02000461,Harrow 029,3330,3960,7290
E02000462,Harrow 030,3547,3435,6982
E02000463,Harrow 031,4424,4282,8706
E02000464,Havering 001,4075,3682,7757
E02000465,Havering 002,4775,4571,9346
E02000466,Havering 003,4733,4336,9069
E02000467,Havering 004,5973,5484,11457
E02000468,Havering 005,4572,4078,8650
E02000469,Havering 006,3773,3510,7283
E02000470,Havering 007,5012,4770,9782
E02000471,Havering 008,3987,3833,7820
E02000472,Havering 009,4870,4602,9472
E02000473,Havering 010,5409,5084,10493
E02000474,Havering 011,4820,4365,9185
E02000475,Havering 012,4995,4617,9612
E02000476,Havering 013,4803,4560,9363
E02000477,Havering 014,4903,4632,9535
E02000478,Havering 015,3041,2949,5990
E02000479,Havering 016,4969,4480,9449
E02000480,Havering 017,7230,6612,13842
E02000481,Havering 018,4331,3903,8234
E02000482,Havering 019,3389,3199,6588
E02000483,Havering 020,4163,3838,8001
E02000484,Havering 021,4349,4143,8492
E02000485,Havering 022,4387,4089,8476
E02000486,Havering 023,3752,3603,7355
E02000487,Havering 024,4131,3781,7912
E02000488,Havering 025,3884,3695,7579
E02000489,Havering 026,4493,4142,8635
E02000490,Havering 027,4353,4118,8471
E02000491,Havering 028,5464,5175,10639
E02000492,Havering 029,3519,3311,6830
E02000493,Havering 030,3515,3222,6737
E02000494,Hillingdon 001,4204,3754,7958
E02000495,Hillingdon 002,5425,4992,10417
E02000496,Hillingdon 003,3982,3819,7801
E02000497,Hillingdon 004,4940,4582,9522
E02000498,Hillingdon 005,3331,3046,6377
E02000499,Hillingdon 006,3950,3777,7727
E02000500,Hillingdon 007,4256,4022,8278
E02000501,Hillingdon 008,4414,4061,8475
E02000502,Hillingdon 009,4603,4326,8929
E02000503,Hillingdon 010,4440,4248,8688
E02000504,Hillingdon 011,3905,3739,7644
E02000506,Hillingdon 013,4021,3940,7961
E02000507,Hillingdon 014,4199,4045,8244
E02000508,Hillingdon 015,6029,5920,11949
E02000509,Hillingdon 016,5165,5390,10555
E02000510,Hillingdon 017,4697,4418,9115
E02000511,Hillingdon 018,5011,4921,9932
E02000512,Hillingdon 019,4482,4341,8823
E02000513,Hillingdon 020,4988,4772,9760
E02000514,Hillingdon 021,5196,5478,10674
E02000515,Hillingdon 022,6580,6713,13293
E02000516,Hillingdon 023,4347,4299,8646
E02000517,Hillingdon 024,5310,5160,10470
E02000518,Hillingdon 025,5055,4577,9632
E02000519,Hillingdon 026,4815,4739,9554
E02000520,Hillingdon 027,6986,7076,14062
E02000521,Hillingdon 028,6687,6503,13190
E02000522,Hillingdon 029,4815,4759,9574
E02000523,Hillingdon 030,5542,5826,11368
E02000524,Hillingdon 031,3628,3907,7535
E02000525,Hillingdon 032,5017,5045,10062
E02000526,Hounslow 001,4466,4174,8640
E02000529,Hounslow 004,4930,4786,9716
E02000530,Hounslow 005,4146,3971,8117
E02000531,Hounslow 006,5935,5648,11583
E02000532,Hounslow 007,4581,4395,8976
E02000533,Hounslow 008,4328,4074,8402
E02000534,Hounslow 009,4313,4245,8558
E02000535,Hounslow 010,4964,5088,10052
E02000536,Hounslow 011,5491,5350,10841
E02000537,Hounslow 012,4704,5141,9845
E02000538,Hounslow 013,4955,5154,10109
E02000539,Hounslow 014,6412,5812,12224
E02000540,Hounslow 015,6121,6002,12123
E02000541,Hounslow 016,5156,5462,10618
E02000542,Hounslow 017,6022,6281,12303
E02000543,Hounslow 018,6878,7123,14001
E02000544,Hounslow 019,4250,4307,8557
E02000545,Hounslow 020,4891,4346,9237
E02000546,Hounslow 021,5065,5362,10427
E02000547,Hounslow 022,5531,5468,10999
E02000548,Hounslow 023,5475,5101,10576
E02000549,Hounslow 024,6227,6309,12536
E02000550,Hounslow 025,5443,5269,10712
E02000551,Hounslow 026,4903,4849,9752
E02000552,Hounslow 027,4495,4761,9256
E02000553,Hounslow 028,3579,3536,7115
E02000554,Islington 001,4978,4378,9356
E02000555,Islington 002,5116,4455,9571
E02000556,Islington 003,6112,5284,11396
E02000557,Islington 004,4707,4076,8783
E02000558,Islington 005,4971,4462,9433
E02000559,Islington 006,4979,4602,9581
E02000560,Islington 007,3741,3614,7355
E02000561,Islington 008,3806,3581,7387
E02000562,Islington 009,4085,3780,7865
E02000563,Islington 010,4523,4159,8682
E02000564,Islington 011,6431,5989,12420
E02000565,Islington 012,4484,4058,8542
E02000566,Islington 013,4527,4029,8556
E02000567,Islington 014,5582,4856,10438
E02000568,Islington 015,5731,5609,11340
E02000569,Islington 016,5324,4615,9939
E02000570,Islington 017,4208,4078,8286
E02000571,Islington 018,4568,4354,8922
E02000572,Islington 019,4742,3860,8602
E02000573,Islington 020,5319,4995,10314
E02000574,Islington 021,4108,3725,7833
E02000575,Islington 022,5727,5586,11313
E02000576,Islington 023,5519,5156,10675
E02000577,Kensington and Chelsea 001,3972,3741,7713
E02000578,Kensington and Chelsea 002,3196,2808,6004
E02000579,Kensington and Chelsea 003,4793,4200,8993
E02000580,Kensington and Chelsea 004,4153,3742,7895
E02000581,Kensington and Chelsea 005,3800,3592,7392
E02000582,Kensington and Chelsea 006,3622,2921,6543
E02000583,Kensington and Chelsea 007,3434,2994,6428
E02000584,Kensington and Chelsea 008,3768,3407,7175
E02000585,Kensington and Chelsea 009,4455,3633,8088
E02000586,Kensington and Chelsea 010,3451,3023,6474
