Middle layer Super Output Areas Code,Middle layer Super Output Areas,Asian_Asian_British_or_Asian_Welsh,Black_Black_British_Black_Welsh_Caribbean_or_African,Mixed_or_Multiple_ethnic_groups,White_English_Welsh_Scottish_Northern_Irish_or_British,White_Irish,White_Gypsy_or_Irish_Traveller_Roma_or_Other_White,Other_ethnic_group,Total
E02000885,Tower Hamlets 022,4265,463,274,1068,56,676,252,7054
E02000886,Tower Hamlets 023,3861,648,466,2312,91,1837,376,9591
E02000887,Tower Hamlets 024,5529,885,482,2012,71,1450,372,10801
E02000888,Tower Hamlets 025,4151,545,369,1727,104,1305,419,8620
E02000889,Tower Hamlets 026,3638,363,461,2188,130,1790,395,8965
E02000890,Tower Hamlets 027,1266,119,302,2462,124,1361,182,5816
E02000893,Tower Hamlets 030,2511,451,401,2265,61,1403,320,7412
E02000894,Tower Hamlets 031,3981,572,631,2780,123,2461,459,11007
E02000895,Waltham Forest 001,855,973,535,4500,156,851,501,8371
E02000896,Waltham Forest 002,693,617,542,5866,221,1042,347,9328
E02000897,Waltham Forest 003,822,1066,540,4627,149,933,430,8567
E02000898,Waltham Forest 004,873,923,536,4272,138,859,409,8010
E02000899,Waltham Forest 005,1230,1133,504,3725,116,1461,642,8811
E02000900,Waltham Forest 006,1536,1670,632,2925,85,1338,787,8973
E02000901,Waltham Forest 007,1032,1023,806,5890,207,1164,371,10493
E02000902,Waltham Forest 008,1917,1673,709,3333,135,1482,711,9960
E02000903,Waltham Forest 009,2163,1860,744,3086,139,1594,687,10273
E02000904,Waltham Forest 010,1680,1355,531,2914,132,1358,454,8424
E02000905,Waltham Forest 011,2124,1395,686,3771,149,1832,515,10472
E02000906,Waltham Forest 012,1986,1294,712,3235,150,1659,618,9654
E02000907,Waltham Forest 013,1802,2645,733,3063,135,1513,689,10580
E02000908,Waltham Forest 014,2177,1985,916,4190,263,2630,742,12903
E02000909,Waltham Forest 015,1383,1203,619,4028,184,1404,425,9246
E02000910,Waltham Forest 016,2811,1143,659,3811,158,2294,553,11429
E02000911,Waltham Forest 017,3000,1575,807,3814,204,2744,819,12963
E02000912,Waltham Forest 018,2865,1421,632,2561,107,1580,577,9743
E02000913,Waltham Forest 019,3471,1210,522,2312,136,1428,563,9642
E02000914,Waltham Forest 020,3796,2267,656,2124,72,2056,827,11798
E02000915,Waltham Forest 021,1692,1029,574,2918,191,1423,284,8111
E02000916,Waltham Forest 022,2616,1879,581,2460,157,2091,778,10562
E02000917,Waltham Forest 023,1789,1376,608,2842,147,2292,534,9588
E02000918,Waltham Forest 024,2077,1308,537,2746,143,1953,559,9323
E02000919,Waltham Forest 025,2357,1077,535,2431,173,2152,512,9237
E02000920,Waltham Forest 026,2568,2118,620,2175,93,1957,765,10296
E02000921,Waltham Forest 027,2267,2601,858,2472,164,2246,591,11199
E02000922,Waltham Forest 028,1960,1827,646,2678,127,2692,533,10463
E02000923,Wandsworth 001,704,625,373,3581,160,1736,347,7526
E02000925,Wandsworth 003,722,1743,561,2783,156,1491,444,7900
E02000926,Wandsworth 004,1100,1222,781,5009,257,2653,618,11640
E02000927,Wandsworth 005,450,990,524,3678,174,1041,243,7100
E02000928,Wandsworth 006,460,246,434,5479,233,1309,193,8354
E02000929,Wandsworth 007,1119,2385,642,2107,99,1240,513,8105
E02000930,Wandsworth 008,824,800,607,5407,272,1884,287,10081
E02000931,Wandsworth 009,452,419,474,5231,220,1845,178,8819
E02000932,Wandsworth 010,1054,574,692,6935,349,2695,546,12845
E02000933,Wandsworth 011,731,366,530,4846,251,1764,379,8867
E02000934,Wandsworth 012,576,825,539,4926,292,1520,239,8917
E02000935,Wandsworth 013,1189,1226,605,2516,113,1174,549,7372
E02000936,Wandsworth 014,1092,434,622,4319,245,2154,499,9365
E02000937,Wandsworth 015,415,461,462,4964,215,1473,172,8162
E02000938,Wandsworth 016,1417,1200,821,4253,238,2142,701,10772
E02000939,Wandsworth 017,468,320,419,4941,181,1346,144,7819
E02000940,Wandsworth 018,1287,1139,640,3925,194,1724,415,9324
E02000941,Wandsworth 019,642,676,521,6448,271,1407,207,10172
E02000942,Wandsworth 020,1083,337,557,5496,217,1716,280,9686
E02000943,Wandsworth 021,866,506,489,5021,269,1341,229,8721
E02000944,Wandsworth 022,1556,1172,542,2477,107,1385,402,7641
E02000945,Wandsworth 023,1370,1090,621,2489,106,1575,591,7842
E02000946,Wandsworth 024,829,1029,498,4447,218,1191,224,8436
E02000947,Wandsworth 025,855,386,483,5505,229,1610,270,9338
E02000948,Wandsworth 026,1063,779,606,5649,321,1340,269,10027
E02000949,Wandsworth 027,715,380,524,6570,302,1334,178,10003
E02000950,Wandsworth 028,1221,632,424,3043,134,1705,426,7585
E02000951,Wandsworth 029,749,533,344,3587,187,836,196,6432
E02000952,Wandsworth 030,566,563,396,3435,211,806,169,6146
E02000953,Wandsworth 031,1032,551,386,4062,223,1031,219,7504
E02000954,Wandsworth 032,1441,526,344,2723,177,704,182,6097
E02000955,Wandsworth 033,1817,748,538,2589,203,729,265,6889
E02000956,Wandsworth 034,1432,1052,493,2809,218,1050,366,7420
E02000957,Wandsworth 035,2370,1190,660,4268,380,1438,556,10862
E02000958,Wandsworth 036,1408,1029,530,3792,191,1020,306,8276
E02000959,Wandsworth 037,946,1583,690,2592,161,1506,388,7866
E02000960,Westminster 001,1265,268,307,1755,105,1696,760,6156
E02000961,Westminster 002,1356,498,640,2947,185,2515,1673,9814
E02000962,Westminster 003,1631,469,452,1830,171,2086,1063,7702
E02000963,Westminster 004,1693,1933,871,2496,271,1476,1782,10522
E02000964,Westminster 005,1505,2313,910,2929,301,2197,1987,12142
E02000965,Westminster 006,950,532,623,2599,181,2223,768,7876
E02000966,Westminster 007,1147,306,569,3120,202,2897,1009,9250
E02000967,Westminster 008,1436,210,331,1514,76,1860,629,6056
E02000968,Westminster 009,3385,1723,804,2460,167,2211,3730,14480
E02000969,Westminster 010,1445,1555,671,1742,141,1690,2364,9608
E02000970,Westminster 011,1101,169,401,2019,117,2410,618,6835
E02000971,Westminster 012,1298,233,483,1807,118,2595,939,7473
E02000972,Westminster 013,1286,495,534,2202,152,2465,745,7879
E02000973,Westminster 014,1266,849,771,3180,205,2846,838,9955
E02000974,Westminster 015,2044,563,533,1824,99,2124,1518,8705
E02000975,Westminster 016,1082,302,497,1945,131,2593,867,7417
E02000976,Westminster 017,1492,391,535,1842,108,2932,1132,8432
E02000977,Westminster 018,1418,256,402,2154,122,1581,455,6388
E02000978,Westminster 019,1187,178,394,2328,113,2315,613,7128
E02000979,Westminster 020,1297,495,477,2926,153,2004,734,8086
E02000980,Westminster 021,1562,767,600,2702,153,2165,775,8724
E02000981,Westminster 022,854,585,516,3652,182,1837,645,8271
E02000982,Westminster 023,1232,748,494,2438,141,1658,927,7638
E02000983,Westminster 024,1307,616,520,2752,148,1452,900,7695
E02003237,Peterborough 001,165,58,125,5493,40,242,33,6156
E02003238,Peterborough 002,238,137,178,4646,31,449,58,5737
E02003239,Peterborough 003,308,119,188,7145,56,465,50,8331
E02003240,Peterborough 004,78,85,124,6275,46,214,51,6873
E02003241,Peterborough 005,187,102,181,6270,38,347,57,7182
E02003242,Peterborough 006,470,184,249,6633,53,760,97,8446
E02003243,Peterborough 007,767,640,517,7495,53,2343,355,12170
E02003244,Peterborough 008,2049,407,335,4967,47,1826,405,10036
E02003245,Peterborough 009,907,493,310,4484,36,1676,338,8244
E02003246,Peterborough 010,3219,401,343,3126,36,2308,597,10030
E02003247,Peterborough 011,834,495,358,5330,53,1609,173,8852
E02003248,Peterborough 012,5449,265,300,2523,41,2419,577,11574
E02003249,Peterborough 013,2450,596,567,5647,75,2941,546,12822
E02003250,Peterborough 014,4169,556,485,3042,45,3065,689,12051
E02003251,Peterborough 015,2358,189,274,4184,36,557,324,7922
E02003252,Peterborough 016,3032,619,492,5722,81,2137,444,12527
E02003253,Peterborough 017,650,487,406,6564,81,1890,187,10265
E02003254,Peterborough 018,358,161,203,7739,77,645,53,9236
E02003255,Peterborough 019,815,596,388,9681,66,1964,214,13724
E02003257,Peterborough 021,327,720,428,5915,56,1923,249,9618
E02003258,Luton 001,1716,736,341,4765,303,562,184,8607
E02003259,Luton 002,1064,950,398,3370,158,733,126,6799
E02003260,Luton 003,2170,1726,627,3318,160,762,186,8949
E02003261,Luton 004,1800,492,291,3093,224,321,224,6445
E02003262,Luton 005,3415,1937,544,3749,224,1030,291,11190
E02003263,Luton 006,5050,1208,600,4187,437,1060,433,12975
E02003264,Luton 007,4515,605,444,3294,228,453,313,9852
E02003265,Luton 008,717,465,329,5692,280,652,97,8232
E02003266,Luton 009,2710,1516,585,3898,170,952,281,10112
E02003267,Luton 010,11225,619,322,1063,109,778,525,14641
E02003268,Luton 011,7532,1321,500,1915,131,921,629,12949
E02003269,Luton 012,1937,1043,526,5168,354,1408,339,10775
E02003270,Luton 013,3560,821,284,2809,172,774,388,8808
E02003271,Luton 014,1159,753,464,6195,201,1217,228,10217
E02003272,Luton 015,8928,540,254,562,54,567,449,11354
E02003273,Luton 016,2687,1387,577,5186,263,1564,367,12031
E02003274,Luton 017,8203,730,290,894,86,910,426,11539
E02003276,Luton 019,5153,774,220,905,78,1612,406,9148
E02003277,Luton 020,3481,1241,588,3666,334,1690,613,11613
E02003278,Luton 021,2712,1748,658,3841,320,3483,515,13277
E02003279,Southend-on-Sea 001,268,116,173,8671,53,131,41,9453
E02003280,Southend-on-Sea 002,521,244,245,9073,60,323,116,10582
E02003281,Southend-on-Sea 003,302,87,229,8442,116,187,79,9442
E02003282,Southend-on-Sea 004,1155,342,308,8153,80,504,142,10684
E02003283,Southend-on-Sea 005,576,156,302,9441,99,352,70,10996
E02003284,Southend-on-Sea 006,590,320,362,9156,77,556,147,11208
E02003285,Southend-on-Sea 007,1096,522,485,8072,130,836,143,11284
E02003286,Southend-on-Sea 008,151,47,190,8551,97,270,62,9368
E02003287,Southend-on-Sea 009,608,278,296,8466,66,338,101,10153
E02003288,Southend-on-Sea 010,1430,822,547,8624,107,1204,273,13007
E02003289,Southend-on-Sea 011,200,58,275,8752,118,413,75,9891
E02003290,Southend-on-Sea 012,439,230,346,8081,132,583,115,9926
E02003291,Southend-on-Sea 013,290,263,319,10323,71,333,77,11676
E02003292,Southend-on-Sea 014,647,665,510,8834,92,1132,212,12092
E02003293,Southend-on-Sea 015,833,627,477,8081,146,1291,237,11692
E02003294,Southend-on-Sea 016,355,119,217,7968,77,308,72,9116
E02003295,Southend-on-Sea 017,406,259,271,8754,47,312,72,10121
E02003296,Thurrock 001,84,124,91,6569,45,134,38,7085
E02003297,Thurrock 002,95,218,133,6644,31,153,40,7314
E02003298,Thurrock 003,122,223,133,6369,55,170,25,7097
E02003299,Thurrock 004,208,193,100,5603,51,240,22,6417
E02003300,Thurrock 005,288,401,207,7622,68,294,66,8946
E02003301,Thurrock 006,838,1519,429,7694,69,1317,166,12032
E02003302,Thurrock 007,509,1547,290,6884,54,985,139,10408
E02003303,Thurrock 008,565,1038,273,6539,70,882,150,9517
E02003304,Thurrock 009,810,639,243,7161,73,574,148,9648
E02003305,Thurrock 010,607,583,150,5174,29,440,98,7081
E02003307,Thurrock 012,438,1097,333,7837,39,748,127,10619
E02003308,Thurrock 013,313,791,227,5851,44,435,54,7715
E02003309,Thurrock 014,764,647,246,5107,51,824,131,7770
E02003311,Thurrock 016,1312,1090,295,4405,48,1824,328,9302
E02003312,Thurrock 017,1200,1584,386,3810,45,2117,282,9424
E02003313,Thurrock 018,716,2921,395,8889,45,1647,208,14821
E02003314,Medway 001,110,183,93,6170,38,158,23,6775
E02003315,Medway 002,114,79,112,5266,31,87,33,5722
E02003316,Medway 003,301,453,197,10709,84,336,62,12142
E02003317,Medway 004,354,394,207,5791,52,203,82,7083
E02003318,Medway 005,507,233,135,4776,27,195,95,5968
E02003319,Medway 006,618,446,292,6083,54,610,137,8240
E02003320,Medway 007,823,736,329,6530,64,714,204,9400
E02003321,Medway 008,275,337,175,5211,32,366,96,6492
E02003322,Medway 009,663,1218,335,4911,43,689,177,8036
E02003323,Medway 010,358,569,294,5687,45,313,119,7385
E02003324,Medway 011,370,854,306,7781,75,639,49,10074
E02003325,Medway 012,936,720,331,4385,42,734,212,7360
E02003326,Medway 013,560,704,275,5525,37,535,130,7766
E02003327,Medway 014,417,311,246,5694,89,605,94,7456
E02003328,Medway 015,1115,1054,446,5577,61,1357,309,9919
E02003329,Medway 016,996,573,255,4290,31,568,165,6878
E02003330,Medway 017,420,371,247,5092,61,459,132,6782
E02003331,Medway 018,315,242,244,7737,51,218,48,8855
E02003332,Medway 019,436,350,173,4944,70,234,80,6287
E02003333,Medway 020,404,760,240,4202,38,900,259,6803
E02003334,Medway 021,933,444,220,3715,39,677,189,6217
E02003335,Medway 022,428,940,293,4693,39,851,185,7429
E02003336,Medway 023,254,101,142,5629,42,156,29,6353
E02003337,Medway 024,407,313,289,5870,54,401,85,7419
E02003338,Medway 025,212,259,159,6309,49,222,92,7302
E02003339,Medway 026,890,308,150,4647,71,229,146,6441
E02003340,Medway 027,300,595,208,6513,43,362,69,8090
E02003341,Medway 028,112,119,102,6008,33,184,44,6602
E02003342,Medway 029,233,107,133,5681,49,188,29,6420
E02003343,Medway 030,435,97,94,5166,46,71,63,5972
E02003344,Medway 031,196,382,174,5692,43,253,61,6801
E02003345,Medway 032,201,108,110,5558,43,170,61,6251
E02003346,Medway 033,548,318,154,5588,33,315,130,7086
E02003347,Medway 034,131,314,129,5225,37,219,42,6097
E02003348,Medway 035,536,100,153,6970,86,151,99,8095
E02003349,Medway 036,208,126,139,6692,56,126,43,7390
E02003350,Medway 037,165,268,134,5557,33,247,56,6460
E02003351,Medway 038,204,237,144,7076,37,183,36,7917
E02003352,Bracknell Forest 001,271,52,159,4877,61,301,54,5775
E02003353,Bracknell Forest 002,729,265,368,9599,90,888,155,12094
E02003354,Bracknell Forest 003,662,158,323,8186,82,755,97,10263
E02003355,Bracknell Forest 004,345,196,234,5415,69,628,71,6958
E02003356,Bracknell Forest 005,549,90,249,5488,109,584,93,7162
E02003357,Bracknell Forest 006,1125,328,374,7128,74,1037,127,10193
E02003358,Bracknell Forest 007,1261,485,495,8159,64,1156,251,11871
E02003359,Bracknell Forest 008,257,89,183,5109,51,569,65,6323
E02003360,Bracknell Forest 009,802,473,357,8951,80,796,164,11623
E02003361,Bracknell Forest 010,422,193,225,5847,71,607,75,7440
E02003362,Bracknell Forest 011,314,201,203,5263,46,645,49,6721
E02003363,Bracknell Forest 012,295,86,211,5983,86,379,60,7100
E02003364,Bracknell Forest 013,487,130,177,5704,53,378,87,7016
E02003365,Bracknell Forest 014,331,104,148,5964,61,279,52,6939
E02003366,Bracknell Forest 015,1030,142,136,5280,46,281,221,7136
E02003367,West Berkshire 001,90,40,109,5995,64,213,22,6533
E02003368,West Berkshire 002,75,16,52,5198,107,227,18,5693
E02003369,West Berkshire 003,109,45,178,5628,79,338,22,6399
E02003370,West Berkshire 004,314,147,220,5588,57,333,73,6732
E02003371,West Berkshire 005,242,86,155,5210,46,174,34,5947
E02003372,West Berkshire 006,643,227,345,6087,101,375,70,7848
E02003373,West Berkshire 007,209,81,184,7735,53,328,65,8655
E02003374,West Berkshire 008,513,304,217,4378,62,318,71,5863
E02003375,West Berkshire 009,174,70,160,5393,46,310,37,6190
E02003376,West Berkshire 010,55,26,83,5335,60,275,32,5866
E02003377,West Berkshire 011,180,101,247,9260,102,484,38,10412
E02003378,West Berkshire 012,363,80,160,6614,62,627,103,8009
E02003379,West Berkshire 013,407,100,170,5402,44,759,97,6979
E02003380,West Berkshire 014,121,61,121,7382,43,390,33,8151
E02003381,West Berkshire 015,173,67,191,5357,38,263,24,6113
E02003382,West Berkshire 016,206,99,127,6632,55,371,55,7545
E02003383,West Berkshire 017,213,53,133,6146,38,289,46,6918
E02003384,West Berkshire 018,67,16,118,6004,38,214,21,6478
E02003385,West Berkshire 019,1093,179,309,8276,103,1077,144,11181
E02003386,West Berkshire 020,344,98,204,6927,70,591,72,8306
E02003387,West Berkshire 021,254,69,171,8444,96,495,59,9588
E02003388,West Berkshire 022,144,65,203,5260,45,275,47,6039
E02003389,Reading 001,724,189,278,5997,105,568,136,7997
E02003390,Reading 002,547,83,246,6160,106,503,107,7752
E02003391,Reading 003,611,198,343,6499,122,701,115,8589
E02003392,Reading 004,797,468,547,5474,157,1086,172,8701
E02003393,Reading 005,449,238,333,6564,89,426,63,8162
E02003394,Reading 006,1189,809,624,4848,107,903,176,8656
E02003395,Reading 007,2878,1153,607,3827,133,2172,504,11274
E02003396,Reading 008,1389,863,558,4996,130,1616,284,9836
E02003397,Reading 009,761,529,488,5796,107,465,78,8224
E02003398,Reading 010,3762,1021,579,3791,110,1679,587,11529
E02003400,Reading 012,1692,464,368,5042,84,1034,287,8971
E02003401,Reading 013,1726,924,479,4306,98,1389,248,9170
E02003402,Reading 014,2593,732,479,4260,152,2077,415,10708
E02003403,Reading 015,1339,773,569,5643,132,805,121,9382
E02003404,Reading 016,1670,843,464,4409,84,915,254,8639
E02003405,Reading 017,2988,1192,843,6197,82,1329,442,13073
E02003406,Reading 018,1496,709,464,4656,55,673,193,8246
E02003407,Slough 001,2907,1193,603,4578,110,1165,353,10909
E02003408,Slough 002,5677,833,352,2004,75,1638,713,11292
E02003409,Slough 003,3009,903,472,4358,121,1110,469,10442
E02003410,Slough 004,7800,656,325,1529,51,1181,702,12244
E02003411,Slough 005,6918,803,496,2250,76,1045,914,12502
E02003412,Slough 006,3695,607,525,4106,114,953,407,10407
E02003414,Slough 008,5734,1161,611,3614,97,1706,830,13753
E02003415,Slough 009,7036,1304,512,1785,50,2094,727,13508
E02003416,Slough 010,4593,679,355,2622,97,900,566,9812
E02003417,Slough 011,6762,931,478,2024,85,1712,811,12803
E02003418,Slough 012,4896,658,387,2755,91,815,722,10324
E02003419,Slough 013,3726,836,418,2732,51,737,483,8983
E02003420,Slough 014,2235,412,264,2138,53,1031,285,6418
E02003421,Windsor and Maidenhead 001,1194,73,153,3676,61,393,123,5673
E02003422,Windsor and Maidenhead 002,286,66,291,10345,167,613,81,11849
E02003423,Windsor and Maidenhead 003,1331,91,201,4228,66,556,113,6586
E02003424,Windsor and Maidenhead 004,1658,161,333,5714,134,1069,243,9312
E02003425,Windsor and Maidenhead 005,2800,261,506,7026,153,1959,361,13066
E02003426,Windsor and Maidenhead 006,1090,107,300,7227,138,767,174,9803
E02003427,Windsor and Maidenhead 007,1755,209,291,4746,75,879,229,8184
E02003428,Windsor and Maidenhead 008,1128,122,303,6793,102,529,186,9163
E02003429,Windsor and Maidenhead 009,995,132,214,5658,120,484,138,7741
E02003430,Windsor and Maidenhead 010,530,124,313,5544,123,795,93,7522
E02003431,Windsor and Maidenhead 011,1560,91,272,4048,88,698,249,7006
E02003432,Windsor and Maidenhead 012,502,93,296,4938,127,964,175,7095
E02003433,Windsor and Maidenhead 013,729,151,202,4682,83,476,148,6471
E02003434,Windsor and Maidenhead 014,954,229,392,6364,119,882,251,9191
E02003435,Windsor and Maidenhead 015,741,106,235,4875,176,869,140,7142
E02003436,Windsor and Maidenhead 016,1350,90,295,6365,139,581,217,9037
E02003437,Windsor and Maidenhead 017,615,128,227,5515,119,646,172,7422
E02003438,Windsor and Maidenhead 018,851,125,414,8246,186,1224,186,11232
E02003439,Wokingham 001,147,32,116,4732,76,367,57,5527
E02003440,Wokingham 002,412,109,228,7857,98,482,87,9273
E02003441,Wokingham 003,777,111,198,6012,77,374,122,7671
E02003442,Wokingham 004,765,150,282,6599,79,513,101,8489
E02003443,Wokingham 005,1031,253,241,4907,56,370,128,6986
E02003444,Wokingham 006,3341,311,292,4506,66,602,254,9372
E02003445,Wokingham 007,1459,193,237,6232,53,472,128,8774
E02003446,Wokingham 008,2346,327,300,5812,87,623,309,9804
E02003447,Wokingham 009,2117,360,410,6933,94,559,243,10716
E02003448,Wokingham 010,807,129,235,6316,60,450,122,8119
E02003449,Wokingham 011,1667,245,225,4568,44,530,209,7488
E02003450,Wokingham 012,2700,595,590,7773,82,1109,345,13194
E02003451,Wokingham 013,650,253,334,7416,96,822,147,9718
E02003452,Wokingham 014,782,210,297,7301,88,696,120,9494
E02003453,Wokingham 015,718,95,203,5555,47,293,69,6980
E02003454,Wokingham 016,727,148,274,6808,94,584,118,8753
E02003455,Wokingham 017,1038,342,375,8038,85,658,108,10644
E02003456,Wokingham 018,470,244,273,6491,61,631,100,8270
E02003457,Wokingham 019,522,129,268,8185,87,548,63,9802
E02003458,Wokingham 020,393,69,194,7043,77,577,72,8425
E02003459,Milton Keynes 001,127,100,153,8197,127,283,20,9007
E02003460,Milton Keynes 002,426,394,361,9849,116,428,102,11676
E02003461,Milton Keynes 003,251,157,190,6529,52,257,39,7475
E02003462,Milton Keynes 004,225,176,200,6891,52,510,55,8109
E02003463,Milton Keynes 005,617,563,225,4687,93,519,111,6815
E02003464,Milton Keynes 006,701,872,256,4512,59,530,134,7064
E02003465,Milton Keynes 007,759,343,210,4070,83,497,108,6070
E02003466,Milton Keynes 008,1190,464,371,5019,55,562,127,7788
E02003467,Milton Keynes 009,665,977,251,3539,52,864,240,6588
E02003468,Milton Keynes 010,685,406,323,6439,84,575,109,8621
E02003469,Milton Keynes 011,544,353,204,4045,43,421,119,5729
E02003470,Milton Keynes 012,881,876,254,3621,55,390,117,6194
E02003471,Milton Keynes 013,909,699,342,3613,53,832,180,6628
E02003472,Milton Keynes 014,1872,1959,438,3644,47,1782,460,10202
E02003473,Milton Keynes 015,1146,234,193,3316,55,527,137,5608
E02003474,Milton Keynes 016,1192,1127,401,5043,68,959,225,9015
E02003476,Milton Keynes 018,1066,2045,304,3930,49,1102,286,8782
E02003478,Milton Keynes 020,1247,411,319,4084,51,550,176,6838
E02003479,Milton Keynes 021,1564,1100,347,3328,58,999,285,7681
E02003480,Milton Keynes 022,671,629,366,5536,65,780,104,8151
E02003481,Milton Keynes 023,846,1629,391,4564,56,729,158,8373
E02003482,Milton Keynes 024,623,478,275,6656,88,530,94,8744
E02003483,Milton Keynes 025,2145,1050,532,6333,51,907,197,11215
E02003484,Milton Keynes 026,941,623,278,4392,58,705,155,7152
E02003485,Milton Keynes 027,738,819,362,5693,66,478,112,8268
E02003486,Milton Keynes 028,1740,961,457,5973,64,834,158,10187
E02003487,Milton Keynes 029,497,536,261,5448,118,432,96,7388
E02003488,Milton Keynes 030,1440,595,338,4800,97,1022,176,8468
E02003489,Milton Keynes 031,468,507,336,5530,98,584,116,7639
E02003490,Milton Keynes 032,1254,1764,488,6577,68,870,182,11203
E02003491,Brighton and Hove 001,297,80,276,6580,57,349,152,7791
E02003492,Brighton and Hove 002,868,495,544,6967,90,792,358,10114
E02003493,Brighton and Hove 003,367,103,342,6401,73,588,187,8061
E02003494,Brighton and Hove 004,197,58,259,5521,84,405,115,6639
E02003495,Brighton and Hove 005,180,76,205,6231,35,267,164,7158
E02003496,Brighton and Hove 006,421,184,356,5783,53,479,475,7751
E02003497,Brighton and Hove 007,512,58,395,5635,84,591,311,7586
E02003498,Brighton and Hove 008,549,344,501,6158,85,637,277,8551
E02003499,Brighton and Hove 009,338,211,332,6172,66,474,254,7847
E02003500,Brighton and Hove 010,245,95,431,6417,120,638,125,8071
E02003501,Brighton and Hove 011,371,112,412,6198,147,935,210,8385
E02003502,Brighton and Hove 012,173,129,270,6506,71,412,219,7780
E02003503,Brighton and Hove 013,521,110,395,7077,93,493,392,9081
E02003504,Brighton and Hove 014,319,115,419,6386,136,984,198,8557
E02003505,Brighton and Hove 015,391,178,475,6424,132,1120,247,8967
E02003506,Brighton and Hove 016,242,108,409,5486,131,621,167,7164
E02003507,Brighton and Hove 017,359,122,308,8315,77,431,163,9775
E02003508,Brighton and Hove 018,347,170,474,6561,175,818,158,8703
E02003509,Brighton and Hove 019,418,208,476,5946,154,1285,402,8889
E02003510,Brighton and Hove 020,394,118,462,5880,167,1265,365,8651
E02003511,Brighton and Hove 021,365,112,406,6588,111,757,306,8645
E02003512,Brighton and Hove 022,321,186,549,6614,175,931,179,8955
E02003513,Brighton and Hove 023,218,112,245,4819,123,654,321,6492
E02003514,Brighton and Hove 024,357,137,448,5662,154,1522,186,8466
E02003515,Brighton and Hove 025,486,270,379,6986,91,563,316,9091
E02003516,Brighton and Hove 026,346,122,383,5320,135,1564,310,8180
E02003517,Brighton and Hove 027,989,247,630,6570,166,1681,455,10738
E02003518,Brighton and Hove 028,307,125,399,5308,161,1032,244,7576
E02003519,Brighton and Hove 029,393,153,436,5265,168,1523,300,8238
E02003520,Brighton and Hove 030,704,311,553,5734,166,1250,453,9171
E02003521,Brighton and Hove 031,367,172,404,5850,156,961,168,8078
E02003522,Brighton and Hove 032,564,369,361,4948,165,1129,270,7806
E02003523,Brighton and Hove 033,294,71,289,8525,147,645,185,10156
E02003524,Portsmouth 001,272,125,121,7266,28,269,37,8118
E02003525,Portsmouth 002,510,173,144,5260,21,274,57,6439
E02003526,Portsmouth 003,327,40,105,6093,44,160,61,6830
E02003527,Portsmouth 004,266,135,124,5538,17,257,41,6378
E02003529,Portsmouth 006,461,67,128,7317,28,287,40,8328
E02003530,Portsmouth 007,421,355,161,6505,23,302,98,7865
E02003531,Portsmouth 008,327,94,137,6837,35,243,47,7720
E02003532,Portsmouth 009,556,238,143,6164,33,608,130,7872
E02003533,Portsmouth 010,194,130,113,4741,26,491,93,5788
E02003534,Portsmouth 011,560,202,167,7225,31,593,116,8894
E02003535,Portsmouth 012,557,236,276,7789,35,655,116,9664
E02003536,Portsmouth 013,762,471,188,5658,25,683,227,8014
E02003537,Portsmouth 014,271,167,220,9031,46,461,66,10262
E02003538,Portsmouth 015,1003,442,280,7155,38,1198,239,10355
E02003540,Portsmouth 017,482,268,241,7772,44,496,131,9434
E02003541,Portsmouth 018,1739,742,442,6601,69,903,441,10937
E02003542,Portsmouth 019,635,250,337,6591,62,850,106,8831
E02003543,Portsmouth 020,791,421,347,5968,79,984,195,8785
E02003544,Portsmouth 021,226,117,198,5199,33,459,86,6318
E02003545,Portsmouth 022,492,233,233,4814,54,774,148,6748
E02003546,Portsmouth 023,299,219,216,6360,63,638,130,7925
E02003547,Portsmouth 024,565,291,260,5691,95,914,271,8087
E02003548,Portsmouth 025,419,148,193,4589,51,649,116,6165
E02003549,Southampton 001,1645,197,351,4983,89,881,348,8494
E02003550,Southampton 002,664,130,187,6112,53,634,107,7887
E02003551,Southampton 003,788,224,215,4394,40,719,108,6488
E02003552,Southampton 004,450,168,159,4700,37,537,84,6135
E02003553,Southampton 005,1542,262,280,3852,25,1042,272,7275
E02003554,Southampton 006,722,190,167,4064,62,689,177,6071
E02003555,Southampton 007,589,258,208,6636,32,863,117,8703
E02003556,Southampton 008,222,86,169,4761,25,450,38,5751
E02003557,Southampton 009,1004,151,232,4357,74,728,253,6799
E02003558,Southampton 010,985,255,221,4296,46,1228,218,7249
E02003559,Southampton 011,870,143,233,5491,99,826,175,7837
E02003560,Southampton 012,255,152,154,6246,28,572,63,7470
E02003561,Southampton 013,1245,262,367,4480,61,1243,266,7924
E02003562,Southampton 014,567,194,281,6214,55,877,130,8318
E02003563,Southampton 015,615,214,236,5706,69,1045,132,8017
E02003564,Southampton 016,393,222,249,6416,39,662,105,8086
E02003565,Southampton 017,883,292,311,3571,72,1353,277,6759
E02003566,Southampton 018,261,118,223,5215,40,488,57,6402
E02003567,Southampton 019,808,172,220,5863,46,831,124,8064
E02003568,Southampton 020,992,268,347,4642,105,1661,251,8266
E02003569,Southampton 021,912,323,308,4376,52,1638,207,7816
E02003570,Southampton 022,4462,1004,424,3056,49,1872,742,11609
E02003571,Southampton 023,1501,397,421,4600,98,1655,295,8967
E02003572,Southampton 024,353,63,195,5036,18,442,72,6179
