Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02007010,Bedford 021,1817,754,1277,1781,1562,1342,8533
E02007011,Bedford 022,2022,652,1222,1835,1026,841,7598
E02007012,Milton Keynes 033,2347,781,1158,2373,1088,531,8278
E02007013,Milton Keynes 034,3062,947,1862,3119,899,222,10111
E02007014,Milton Keynes 035,1578,689,1026,1821,1298,710,7122
E02007015,Milton Keynes 036,2430,849,1819,2612,1195,753,9658
E02007016,Milton Keynes 037,2203,825,1488,2402,1373,921,9212
E02007017,Redbridge 037,2189,1080,1070,2071,1415,991,8816
E02007018,Redbridge 038,1896,817,1083,1812,1089,573,7270
E02007019,Redbridge 039,1873,750,1439,1889,783,429,7163
E02007020,Redbridge 040,2445,1240,1673,2089,1451,942,9840
E02007021,Oxford 020,1401,1848,1454,1700,1181,857,8441
E02007032,North Norfolk 015,1030,580,669,986,1467,2084,6816
E02007033,North Norfolk 016,940,538,737,971,1271,1734,6191
E02007046,Ashford 015,1391,630,933,1307,1199,1570,7030
E02007047,Ashford 016,2011,881,1525,1975,1524,927,8843
E02007052,Norwich 016,847,831,1386,1283,1048,1071,6466
E02007053,Norwich 017,347,2057,1201,912,759,803,6079
E02007054,South Norfolk 016,2087,705,1638,2064,1231,1020,8745
E02007055,South Norfolk 017,1158,633,829,1354,1646,1915,7535
E02007056,Colchester 023,2169,714,1670,2198,1175,740,8666
E02007057,Colchester 024,1593,764,1494,1889,1140,646,7526
E02007068,Slough 015,1710,723,1458,1729,892,506,7018
E02007069,Slough 016,1891,940,1294,2024,1118,814,8081
E02007074,Southampton 033,1441,2783,1830,1525,746,417,8742
E02007075,Southampton 034,451,709,1945,1085,691,418,5299
E02007076,Test Valley 016,1929,627,1571,1856,1141,544,7668
E02007077,Test Valley 017,2005,590,1650,1712,952,569,7478
E02007078,Test Valley 018,751,464,693,910,1088,1169,5075
E02007083,Wandsworth 038,968,888,2773,2067,759,256,7711
E02007084,Wandsworth 039,1601,1223,2710,2106,1451,799,9890
E02007085,South Cambridgeshire 022,2098,1023,1218,2341,2424,2784,11888
E02007086,Cambridge 015,2895,903,2272,2811,1438,814,11133
E02007087,Cambridge 014,735,1657,1249,1014,807,766,6228
E02007088,North Hertfordshire 016,1353,614,611,1391,1836,1879,7684
E02007089,North Hertfordshire 017,1662,662,1018,1917,1328,817,7404
E02007090,St Albans 021,1335,667,565,1346,1370,983,6266
E02007091,Stevenage 013,1108,553,858,1286,1528,1102,6435
E02007092,Welwyn Hatfield 017,897,632,759,981,1117,1101,5487
E02007093,East Hertfordshire 019,1398,664,730,1441,2002,1882,8117
E02007108,Hackney 030,629,470,2416,1467,613,346,5941
E02007109,Hackney 031,1127,689,2081,1790,1186,744,7617
E02007110,Hackney 032,974,1261,2195,1472,980,450,7332
E02007111,Hackney 033,487,1174,2324,1162,610,192,5949
E02007112,Tower Hamlets 034,657,950,2704,1180,318,84,5893
E02007113,Tower Hamlets 035,1359,959,2540,1839,556,208,7461
E02007114,Tower Hamlets 036,1219,1477,2247,1717,586,318,7564
E02007115,Camden 029,1203,3667,2114,1838,1557,1209,11588
E02007116,Oxford 019,1209,1462,1986,1818,1101,602,8178
