Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02000686,Lewisham 034,309,552,69,557,898,578,74,7
E02000687,Lewisham 035,638,937,21,673,381,748,48,9
E02000689,Merton 001,884,1186,62,82,232,1003,62,1
E02000690,Merton 002,1021,573,4,25,150,388,63,0
E02000691,Merton 003,700,868,24,49,224,1021,69,2
E02000692,Merton 004,1006,737,11,24,308,1377,104,1
E02000693,Merton 005,698,1124,194,63,324,1784,99,0
E02000694,Merton 006,720,1297,9,82,453,1205,63,4
E02000695,Merton 007,916,928,22,34,98,865,80,0
E02000696,Merton 008,512,844,23,124,492,1211,63,1
E02000697,Merton 009,807,1138,19,28,136,1463,76,0
E02000698,Merton 010,1150,1070,21,33,155,700,53,1
E02000699,Merton 011,896,1181,10,26,126,956,66,1
E02000700,Merton 012,520,674,21,248,905,917,65,4
E02000701,Merton 013,719,826,49,81,395,938,106,0
E02000702,Merton 014,630,1022,96,185,728,641,65,0
E02000703,Merton 015,1181,1007,18,17,131,537,47,0
E02000704,Merton 016,779,1018,23,98,387,1190,75,0
E02000705,Merton 017,932,1198,27,27,149,698,85,1
E02000706,Merton 018,488,785,61,333,982,821,61,4
E02000707,Merton 019,584,787,12,128,723,483,60,1
E02000708,Merton 020,1047,1297,36,44,128,625,73,7
E02000709,Merton 021,1196,1119,8,26,123,349,48,1
E02000710,Merton 022,840,937,54,156,526,847,75,3
E02000711,Merton 023,647,975,21,203,481,1046,82,1
E02000712,Merton 024,757,927,28,216,842,570,59,4
E02000713,Merton 025,1069,1255,15,14,58,364,52,1
E02000714,Newham 001,411,567,77,343,363,819,63,4
E02000715,Newham 002,312,364,21,401,130,802,57,7
E02000716,Newham 003,378,419,31,264,280,859,65,6
E02000717,Newham 004,397,394,29,316,222,960,69,8
E02000718,Newham 005,306,390,38,717,147,570,70,8
E02000719,Newham 006,347,504,40,395,508,1014,56,10
E02000720,Newham 007,527,472,19,119,214,697,68,7
E02000721,Newham 008,531,387,18,281,269,1094,174,9
E02000722,Newham 009,347,447,67,455,464,1066,78,10
E02000723,Newham 010,785,538,16,198,140,1053,127,4
E02000724,Newham 011,595,530,16,178,173,938,98,5
E02000725,Newham 012,318,542,135,696,613,1577,83,33
E02000727,Newham 014,495,353,10,223,120,990,91,9
E02000728,Newham 015,470,491,12,124,108,1032,105,1
E02000729,Newham 016,439,410,18,165,338,749,77,5
E02000730,Newham 017,633,436,9,125,266,998,93,4
E02000731,Newham 018,546,530,20,214,204,1145,107,7
E02000732,Newham 019,293,494,55,597,350,888,72,4
E02000733,Newham 020,398,553,57,1170,229,998,42,13
E02000734,Newham 021,251,340,72,698,355,701,60,18
E02000735,Newham 022,384,455,59,448,367,874,64,6
E02000736,Newham 023,331,614,19,615,173,811,79,7
E02000737,Newham 024,532,771,27,590,165,895,77,9
E02000738,Newham 025,504,839,55,223,151,939,73,2
E02000739,Newham 026,308,404,78,467,357,777,80,7
E02000740,Newham 027,212,390,27,669,504,638,47,8
E02000741,Newham 028,453,673,22,458,204,781,80,10
E02000742,Newham 029,374,646,20,507,173,734,68,6
E02000743,Newham 030,280,525,138,1043,436,1054,93,9
E02000744,Newham 031,334,602,97,526,436,1224,88,19
E02000745,Newham 032,323,569,64,453,558,847,61,1
E02000746,Newham 033,171,617,145,307,1065,1041,44,4
E02000747,Newham 034,310,829,194,1012,585,2391,114,13
E02000748,Newham 035,282,492,18,217,297,842,59,3
E02000749,Newham 036,219,546,107,978,653,756,58,13
E02000751,Redbridge 001,1834,1452,13,92,157,796,91,3
E02000752,Redbridge 002,617,1168,130,668,203,415,54,11
E02000753,Redbridge 003,596,814,27,409,131,444,40,14
E02000754,Redbridge 004,777,952,10,270,110,416,46,7
E02000755,Redbridge 005,650,831,9,221,47,382,43,5
E02000756,Redbridge 006,1485,1742,43,373,160,1307,139,7
E02000757,Redbridge 007,1366,1617,50,187,251,1598,105,5
E02000758,Redbridge 008,773,861,19,187,132,295,46,4
E02000759,Redbridge 009,1265,1634,27,533,193,1063,91,12
E02000760,Redbridge 010,710,798,29,286,182,566,50,7
E02000762,Redbridge 012,813,744,7,68,15,406,50,1
E02000763,Redbridge 013,684,766,33,269,123,639,64,1
E02000764,Redbridge 014,1616,1576,22,260,294,1468,124,8
E02000765,Redbridge 015,682,738,8,115,73,724,82,5
E02000767,Redbridge 017,719,909,44,101,102,807,74,13
E02000768,Redbridge 018,846,779,4,77,153,312,28,2
E02000770,Redbridge 020,647,718,15,95,58,877,65,14
E02000772,Redbridge 022,558,695,10,76,213,925,60,2
E02000773,Redbridge 023,726,902,27,182,286,912,64,13
E02000774,Redbridge 024,622,578,5,47,61,1065,80,1
E02000776,Redbridge 026,597,497,10,69,87,748,68,6
E02000777,Redbridge 027,818,779,8,220,86,371,39,4
E02000779,Redbridge 029,470,431,33,151,109,1483,89,8
E02000781,Redbridge 031,1250,1595,22,196,141,1080,138,5
E02000782,Redbridge 032,504,541,167,319,399,1555,79,13
E02000783,Redbridge 033,333,443,18,190,307,756,56,12
E02000784,Richmond upon Thames 001,1325,1052,8,169,517,991,107,8
E02000785,Richmond upon Thames 002,1418,1221,15,37,221,1149,98,4
E02000786,Richmond upon Thames 003,1214,1551,25,144,609,1296,102,3
E02000787,Richmond upon Thames 004,1118,1568,84,180,843,1280,95,5
E02000788,Richmond upon Thames 005,1121,1319,3,36,229,842,73,1
E02000789,Richmond upon Thames 006,763,668,7,32,489,805,75,2
E02000790,Richmond upon Thames 007,743,1031,19,12,106,744,45,1
E02000791,Richmond upon Thames 008,867,646,10,18,163,1174,90,1
E02000792,Richmond upon Thames 009,894,942,7,20,171,989,78,0
E02000793,Richmond upon Thames 010,1102,1056,22,47,288,544,75,0
